n,Heap Sort,Bubble Sort,Insertion Sort,Selection Sort
1,400,100,100,100
2,500,100,100,200
3,500,100,100,200
4,500,100,0,100
5,800,300,200,300
6,1100,500,200,400
7,1100,500,100,300
8,1100,600,200,400
9,1200,600,100,900
10,1500,600,100,400
11,2000,1200,300,600
12,2300,1100,200,600
13,1800,1100,200,600
14,2300,1600,200,700
15,2600,2100,300,900
16,2800,2400,300,900
17,2300,1700,200,800
18,3100,2600,200,1000
19,3400,2500,200,1100
20,3500,3200,300,1200
21,2800,2300,200,1200
22,3500,3000,300,1500
23,4000,3800,200,1400
24,3300,2900,200,1400
25,3500,3100,200,1400
26,5000,5500,300,1900
27,3800,3600,200,1600
28,3800,3800,200,1700
29,3900,4000,200,1600
30,4200,4300,300,1800
